time,w1,w2,w3
1,101.3,93.8,100.9
2,101.3,103.9,100.9
3,101.5,103.9,101.2
4,101.7,103.6,101.4
5,102.0,103.5,101.5
6,102.1,103.3,101.7
7,102.2,103.1,101.8
8,102.2,103.1,101.8
9,102.2,103.1,102.0
10,102.5,102.9,102.2
11,102.6,102.9,102.4
12,102.7,102.7,102.4
13,102.8,102.6,102.4
14,102.8,102.8,102.4
15,102.8,102.7,102.6
16,103.0,102.6,102.6
17,103.2,102.5,102.7
18,103.3,102.4,102.8
19,103.2,102.4,102.7
20,103.2,102.3,102.7
21,102.8,97.2,101.8
22,102.2,97.2,101.3
23,101.7,96.8,100.8
24,95.9,96.3,94.9
25,95.7,96.0,94.7
26,95.5,95.9,94.6
27,95.3,95.7,94.4
28,95.3,95.5,94.4
29,95.3,95.2,94.4
30,95.2,95.0,94.3
31,95.2,94.8,94.2
32,95.1,94.7,94.2
33,95.0,94.7,94.1
34,95.1,94.7,94.1
35,95.1,94.5,94.0
36,95.0,94.4,93.9
37,94.9,94.2,93.8
38,94.7,94.0,94.0
39,94.6,94.0,93.8
40,94.6,93.9,93.8
41,94.7,93.8,93.7
42,94.6,93.7,93.7
43,94.5,93.8,93.8
44,94.5,93.7,93.9
45,94.5,93.6,93.8
46,94.5,93.6,93.7
47,94.8,93.5,93.8
48,95.0,93.5,93.7
49,94.9,93.5,93.9
50,94.8,93.4,93.8
51,94.6,93.4,93.7
52,94.7,93.3,93.8
53,94.7,93.3,93.8
54,94.8,93.5,93.8
55,94.6,93.5,94.0
56,94.5,93.6,93.8
57,94.5,93.5,93.8
58,94.6,93.4,93.8
59,94.5,93.4,93.8
60,94.5,93.4,93.7
61,94.4,93.4,93.8
62,94.4,93.5,93.8
63,94.6,93.4,93.8
64,94.7,93.3,93.8
65,94.7,93.4,93.7
66,94.5,93.5,93.7
67,94.5,93.5,93.8
68,94.5,93.5,93.8
69,94.4,93.5,93.8
70,94.5,93.4,93.8
71,94.5,93.3,93.7
72,94.4,93.3,93.6
73,94.3,93.3,93.8
74,94.2,93.4,93.7
75,94.0,93.6,93.7
76,94.2,93.5,93.7
77,94.1,93.4,93.6
78,93.9,93.4,93.6
79,93.8,93.4,93.7
80,93.7,93.6,93.7
81,93.6,93.5,93.7
82,93.8,93.4,93.6
83,93.7,93.4,93.6
84,93.6,93.3,93.6
85,93.6,93.5,93.8
86,93.5,93.5,93.8
87,93.6,93.4,93.8
88,93.8,93.4,93.7
89,93.7,93.3,93.8
90,93.7,93.5,93.8
91,93.7,93.5,93.9
92,93.7,93.6,93.9
93,93.8,93.5,93.8
94,93.9,93.4,93.7
95,94.0,93.6,93.7
96,94.0,93.4,93.7
97,93.9,93.5,93.8
98,93.9,93.6,93.8
99,93.9,93.5,93.7
100,94.0,93.6,93.6
101,93.9,93.6,93.6
102,93.8,93.5,93.6
103,93.7,93.5,93.8
104,93.7,93.6,93.8
105,93.9,93.7,93.7
106,94.0,93.6,93.7
107,93.9,93.5,93.6
108,93.9,93.4,93.6
109,93.8,93.5,93.6
110,93.7,93.6,93.6
111,93.6,93.6,93.5
112,93.9,93.5,93.5
113,93.7,93.4,93.5
114,93.7,93.3,93.4
115,93.6,93.5,93.7
116,93.6,93.6,93.6
117,93.6,93.6,93.5
118,93.7,93.5,93.5
119,93.6,93.4,93.5
120,93.7,93.5,93.5
121,93.5,93.7,93.6
122,93.5,93.6,93.7
123,93.5,93.6,93.6
124,93.6,93.6,93.5
125,93.6,93.6,93.6
126,93.7,93.6,93.6
127,93.6,93.6,93.8
128,93.6,93.7,93.7
129,93.5,93.6,93.7
130,93.5,93.7,93.7
131,93.6,93.6,93.6
132,93.6,93.5,93.5
133,93.6,93.5,93.6
134,93.7,93.6,93.6
135,93.6,93.7,93.6
136,93.6,93.6,93.5
137,93.8,93.5,93.5
138,93.8,93.5,93.6
139,93.7,93.5,93.8
140,93.6,93.7,93.7
141,93.5,93.7,93.7
142,93.6,93.5,93.7
143,93.8,93.5,93.7
144,93.8,93.5,93.7
145,93.6,93.5,93.8
146,93.6,93.6,93.7
147,93.5,93.5,93.7
148,93.6,93.4,93.6
149,93.6,93.4,93.6
150,93.5,93.4,93.6
151,93.5,93.6,93.8
152,93.5,93.6,93.8
153,93.4,93.5,93.8
154,93.5,93.4,93.7
155,93.5,93.5,93.7
156,93.5,93.5,93.6
157,93.5,93.6,93.8
158,93.4,93.6,93.8
159,93.4,93.5,93.7
160,93.6,93.6,93.6
161,93.6,93.6,93.5
162,93.5,93.5,93.5
163,93.6,93.6,93.7
164,93.5,93.7,93.7
165,93.4,93.6,93.7
166,93.5,93.8,93.6
167,93.5,93.7,93.6
168,93.6,93.6,93.7
169,93.6,93.6,93.9
170,93.5,93.8,93.9
171,93.5,93.8,93.9
172,93.6,93.7,93.9
173,93.6,93.6,93.8
174,93.5,93.4,93.8
175,93.5,93.5,93.9
176,93.4,93.6,94.0
177,93.4,93.5,93.9
178,93.4,93.4,93.9
179,93.6,93.4,93.9
180,93.6,93.4,93.8
181,93.6,93.6,94.1
182,93.5,93.5,94.1
183,93.4,93.5,94.4
184,93.5,93.4,94.6
185,93.5,93.5,94.4
186,93.5,93.6,94.3
187,93.4,93.7,94.5
188,93.3,93.7,94.4
189,93.3,93.6,94.4
190,93.4,93.7,94.4
191,93.5,93.7,94.4
192,93.4,93.6,94.3
193,93.3,93.6,94.4
194,93.3,93.6,94.3
195,93.3,93.7,94.2
196,93.3,93.7,94.2
197,93.4,93.5,94.1
198,93.5,93.5,94.0
199,93.4,93.5,94.1
200,93.4,93.5,94.2
201,93.3,93.6,94.1
202,93.4,93.5,94.1
203,93.5,93.4,94.1
204,93.6,93.3,94.1
205,93.5,93.4,94.3
206,93.4,93.4,94.1
207,93.3,93.4,94.2
208,93.4,93.3,94.2
209,93.5,93.3,94.1
210,93.5,93.3,94.2
211,93.5,93.5,94.3
212,93.4,93.6,94.2
213,93.5,93.5,94.2
214,93.7,93.4,94.2
215,93.7,93.4,94.1
216,93.6,93.5,94.2
217,93.5,93.5,94.2
218,93.5,93.6,94.2
219,93.4,93.6,94.2
220,93.6,93.5,94.1
221,93.6,93.6,94.1
222,93.5,93.6,94.2
223,93.5,93.6,94.4
224,93.5,93.6,94.4
225,93.5,93.6,94.4
226,93.6,93.6,94.2
227,93.6,93.6,94.1
228,93.5,93.5,94.1
229,93.4,93.5,94.1
230,93.4,93.5,94.0
231,93.3,93.6,93.9
232,93.5,93.5,93.8
233,93.6,93.5,93.8
234,93.4,93.4,93.8
235,93.4,93.5,93.8
236,93.3,93.6,93.7
237,93.3,93.6,93.7
238,93.5,93.6,93.6
239,93.5,93.7,93.5
240,93.5,93.7,93.6
241,93.4,93.9,93.5
242,93.4,94.0,93.5
243,93.4,93.9,93.5
244,93.6,93.9,93.4
245,93.5,93.9,93.4
246,93.4,94.0,93.5
247,93.4,94.1,93.6
248,93.3,94.2,93.5
249,93.3,94.1,93.4
250,93.3,94.1,93.4
251,93.4,94.2,93.4
252,93.4,94.1,93.4
253,93.4,94.2,93.5
254,93.3,94.2,93.4
255,93.3,94.2,93.4
256,93.4,94.3,93.4
257,93.4,94.1,93.4
258,93.4,94.1,93.4
259,93.3,94.1,93.4
260,93.3,94.1,93.4
261,93.2,94.3,93.3
262,93.3,94.2,93.2
263,93.3,94.1,93.2
264,93.2,94.0,93.3
265,93.2,94.1,93.6
266,93.2,94.2,93.6
267,93.3,94.1,93.5
268,93.3,94.1,93.4
269,93.5,93.9,93.4
270,93.4,94.0,93.4
271,93.3,94.2,93.5
272,93.3,94.1,93.4
273,93.3,94.0,93.3
274,93.5,94.0,93.3
275,93.6,93.9,93.3
276,93.5,94.1,93.4
277,93.4,94.1,93.4
278,93.4,94.0,93.4
279,93.3,94.0,93.3
280,93.4,93.9,93.3
281,93.5,94.0,93.2
282,93.4,94.1,93.4
283,93.3,94.1,93.4
284,93.3,94.0,93.3
285,93.3,94.0,93.3
286,93.4,94.1,93.3
287,93.5,94.1,93.3
288,93.4,94.1,93.4
289,93.3,94.1,93.5
290,93.3,94.1,93.5
291,93.2,94.3,93.4
292,93.5,94.1,93.4
293,93.5,94.1,93.4
294,93.4,94.1,93.5
295,93.4,94.2,93.6
296,93.4,94.3,93.5
297,93.3,94.3,93.4
298,93.5,94.1,93.5
299,93.5,94.2,93.5
300,93.4,94.1,93.6
301,93.4,94.1,93.7
302,93.4,94.0,93.6
303,93.5,93.9,93.5
304,93.5,93.7,93.5
305,93.6,93.7,93.4
306,93.8,93.8,93.5
307,93.7,93.7,93.5
308,93.8,93.6,93.5
309,93.7,93.5,93.5
310,93.7,93.4,93.4
311,93.7,93.6,93.4
312,93.8,93.5,93.5
313,93.8,93.5,93.4
314,93.8,93.4,93.6
315,93.9,93.3,93.7
316,94.2,93.5,93.6
317,94.1,93.6,93.6
318,94.1,93.6,93.7
319,94.0,93.5,93.7
320,94.0,93.4,93.6
321,94.3,93.5,93.5
322,100.2,93.4,93.6
323,105.4,93.4,93.7
324,105.2,93.4,93.7
325,104.8,93.4,93.7
326,104.4,93.5,93.6
327,104.0,93.5,93.5
328,103.6,93.4,93.5
329,103.0,93.3,93.5
330,102.8,93.4,93.5
331,102.6,93.6,93.5
332,102.2,93.5,93.5
333,101.9,93.4,93.4
334,101.8,93.3,93.5
335,102.0,93.4,93.5
336,102.4,93.6,93.6
337,102.5,93.5,93.6
338,102.7,93.4,93.6
339,103.2,93.3,93.5
340,103.8,93.4,93.5
341,104.1,93.5,93.5
342,104.3,93.5,93.6
343,104.6,93.4,93.6
344,105.0,93.2,93.7
345,105.2,93.2,93.6
346,105.6,93.3,93.6
347,105.7,93.3,93.6
348,105.8,93.3,93.6
349,105.9,93.3,93.5
350,106.0,93.2,93.4
351,106.0,93.3,93.4
352,106.2,93.4,93.4
353,106.2,93.5,93.3
354,106.3,93.4,93.4
355,106.3,93.3,93.5
356,106.4,93.4,93.5
357,106.4,93.4,93.5
358,106.7,93.5,93.5
359,106.7,93.5,93.4
360,106.6,93.4,93.6
361,106.6,93.4,93.6
362,106.6,93.5,93.5
363,106.5,93.4,93.5
364,106.7,93.4,93.5
365,106.7,93.5,93.4
366,106.7,93.4,93.5
367,106.8,93.3,93.6
368,106.8,93.3,93.5
369,106.7,93.3,93.7
370,106.9,93.3,93.7
371,106.8,93.5,93.6
372,106.8,93.6,93.7
373,106.8,93.4,93.7
374,106.7,93.3,93.6
375,106.6,93.4,93.5
376,106.7,93.5,93.6
377,106.6,93.4,93.6
378,106.6,93.3,93.7
379,106.6,93.3,93.7
380,106.5,93.2,93.6
381,106.4,93.2,93.6
382,106.5,93.4,93.5
383,106.4,93.3,93.5
384,106.3,93.2,93.6
385,106.3,93.2,93.6
386,106.3,93.1,93.7
387,106.3,93.2,93.9
388,106.4,93.3,93.8
389,106.4,93.2,93.6
390,106.3,93.2,93.7
391,106.3,93.3,93.6
392,106.1,93.3,93.6
393,106.0,93.3,93.6
394,106.1,93.4,93.4
395,106.2,93.4,93.5
396,106.2,93.3,93.6
397,106.2,93.4,93.5
398,106.2,93.3,93.4
399,106.2,93.4,93.5
400,106.2,93.4,93.5
401,106.4,93.3,93.5
402,106.3,93.3,93.6
403,106.3,93.4,93.5
404,106.1,93.4,93.5
405,106.2,93.5,93.4
406,106.5,93.5,93.4
407,106.6,93.4,93.5
408,106.5,93.3,93.5
409,106.4,93.3,93.5
410,106.4,93.3,93.5
411,106.3,93.3,93.4
412,106.2,93.3,93.4
413,106.3,93.2,93.4
414,106.3,93.2,93.6
415,106.2,93.2,93.5
416,106.3,93.2,93.5
417,106.3,93.3,93.3
418,106.4,93.3,93.3
419,106.4,93.2,93.4
420,106.4,93.3,93.5
421,106.3,93.2,93.5
422,106.3,93.3,93.5
423,106.2,93.4,93.4
424,106.3,93.3,93.4
425,106.3,93.3,93.4
426,106.3,93.4,93.4
427,106.3,93.3,93.4
428,106.4,93.3,93.4
429,106.3,93.4,93.3
430,106.4,93.3,93.3
431,106.5,93.3,93.3
432,106.4,93.5,93.4
