time,w1,w2,w3
1,99.4,113.6,118.4
2,126.7,100.4,98.2
3,109.5,100.1,98.0
4,97.2,99.9,98.1
5,97.6,99.6,98.1
6,97.7,99.5,98.0
7,97.7,99.1,98.0
8,97.6,98.9,97.9
9,97.6,98.8,97.7
10,97.8,98.7,97.8
11,98.2,98.6,97.8
12,98.1,98.6,97.6
13,97.9,98.4,97.6
14,97.8,98.3,97.6
15,97.8,98.3,97.5
16,97.7,98.2,97.6
17,97.8,98.3,97.7
18,97.7,98.2,97.6
19,97.5,97.9,97.5
20,97.5,97.8,97.4
21,97.4,97.8,97.4
22,97.5,97.7,97.6
23,97.6,97.6,97.6
24,97.5,97.5,97.5
25,97.6,97.5,97.5
26,97.5,97.5,97.6
27,97.4,97.4,97.4
28,97.3,97.5,97.5
29,97.3,97.5,97.6
30,97.2,97.3,97.6
31,97.7,97.4,97.7
32,97.7,97.5,97.6
33,97.6,97.5,97.5
34,97.5,97.4,97.6
35,97.6,97.2,97.4
36,97.6,97.1,97.5
37,97.6,97.1,97.5
38,97.6,97.3,97.3
39,97.5,97.2,97.4
40,97.5,97.2,97.5
41,97.4,97.2,97.3
42,97.4,97.1,97.3
43,97.5,97.1,97.3
44,97.5,97.2,97.1
45,97.6,97.1,97.2
46,97.6,97.1,97.3
47,97.5,97.0,97.2
48,97.4,97.0,97.3
49,97.6,97.0,97.3
50,97.6,97.2,97.2
51,97.4,97.1,97.2
52,97.4,97.1,97.4
53,97.3,97.1,97.3
54,97.5,97.1,97.3
55,97.7,97.3,97.5
56,97.6,97.4,97.4
57,97.4,97.3,97.6
58,97.5,97.2,97.8
59,97.4,97.1,97.8
60,97.5,97.1,97.9
61,97.6,97.2,97.9
62,97.5,97.2,97.8
63,97.5,97.1,97.8
64,97.5,97.1,97.9
65,97.4,96.9,97.9
66,97.5,96.9,97.8
67,97.6,97.1,97.8
68,97.5,97.0,97.8
69,97.6,97.0,97.8
70,97.6,97.0,97.9
71,97.4,96.9,97.9
72,97.5,96.9,97.8
73,97.6,96.9,97.7
74,97.5,96.9,97.7
75,97.7,97.0,97.7
76,97.7,97.1,97.8
77,97.5,97.0,97.8
78,97.6,97.0,97.7
79,97.6,97.0,97.6
80,97.6,97.0,97.5
81,97.6,97.1,97.8
82,97.6,97.1,97.7
83,97.4,96.9,97.7
84,97.4,96.9,97.7
85,97.4,97.0,97.6
86,97.2,97.0,97.6
87,97.2,97.1,97.7
88,97.2,97.0,97.7
89,97.1,96.9,97.6
90,97.2,97.1,97.5
91,97.3,97.2,97.6
92,97.3,97.1,97.6
93,97.3,97.2,97.7
94,97.2,97.0,97.6
95,97.1,96.9,97.5
96,97.3,96.9,97.5
97,97.3,97.0,97.4
98,97.2,97.1,97.3
99,97.3,97.1,97.5
100,97.1,96.9,97.4
101,97.1,96.8,97.4
102,97.5,96.8,97.3
103,97.4,96.9,97.2
104,97.4,97.0,97.2
105,97.3,96.9,97.3
106,97.2,96.8,97.4
107,97.3,96.9,97.4
108,97.3,96.9,97.3
109,97.3,96.9,97.2
110,97.3,96.9,97.2
111,97.3,96.9,97.3
112,97.1,96.8,97.3
113,97.1,96.8,97.3
114,97.2,96.8,97.2
115,97.2,96.8,97.2
116,97.3,97.0,97.3
117,97.3,97.0,97.2
118,97.2,96.9,97.3
119,97.1,96.9,97.4
120,97.3,96.9,97.4
121,97.4,97.0,97.4
122,97.4,97.1,97.4
123,97.4,97.2,97.5
124,97.3,97.2,97.6
125,97.4,97.2,97.7
126,97.4,97.2,97.6
127,97.5,97.2,97.5
128,97.6,97.3,97.4
129,97.4,97.2,97.4
