time,w1,w2,w3
1,104.6,116.1,97.3
2,121.8,116.1,125.9
3,121.7,116.5,125.3
4,122.0,117.1,125.1
5,122.0,117.6,124.9
6,122.2,118.0,124.6
7,109.1,118.4,114.0
8,97.6,97.0,97.2
9,97.4,97.1,97.3
10,97.4,97.1,97.5
11,97.4,97.2,97.6
12,97.4,97.3,97.7
13,97.4,97.2,97.8
14,97.3,97.1,97.7
15,97.2,97.2,97.9
16,97.2,97.2,97.9
17,97.1,97.2,97.7
18,97.2,97.2,97.7
19,97.3,97.2,97.7
20,97.1,97.1,97.7
21,97.0,97.3,97.7
22,97.0,97.3,97.9
23,97.1,97.1,97.8
24,97.1,97.1,97.8
25,97.1,97.2,97.8
26,97.1,97.1,97.8
27,97.0,97.3,97.9
28,97.1,97.3,97.9
29,97.0,97.2,97.9
30,97.2,97.2,97.9
31,97.2,97.2,97.8
32,97.1,97.1,97.7
33,97.1,97.2,97.8
34,97.1,97.2,97.8
35,97.2,97.1,97.6
36,97.4,97.3,97.7
37,97.4,97.3,97.8
38,97.3,97.1,97.8
39,97.4,97.3,97.7
40,97.5,97.3,97.6
41,97.4,97.2,97.6
42,97.5,97.1,97.7
43,97.5,97.1,97.6
44,97.4,97.0,97.7
45,97.3,97.2,97.8
46,97.3,97.2,97.7
47,97.2,97.4,97.6
48,97.4,97.4,97.6
49,97.4,97.2,97.4
50,97.2,97.2,97.5
51,97.2,97.4,97.6
52,97.2,97.4,97.5
53,97.1,97.4,97.5
54,97.4,97.4,97.4
55,97.4,97.2,97.4
56,97.2,97.2,97.6
57,97.2,97.3,97.5
58,97.4,97.3,97.4
59,97.3,97.2,97.3
60,97.5,97.2,97.3
61,97.6,97.1,97.2
62,97.5,97.1,97.4
63,97.6,97.2,97.6
64,97.5,97.1,97.5
65,97.7,97.1,97.5
66,97.9,97.1,97.4
67,97.8,97.0,97.2
68,97.8,97.1,97.2
69,97.8,97.2,97.2
70,97.7,97.2,97.2
71,97.7,97.2,97.2
72,97.9,97.2,97.2
73,97.8,97.1,97.1
74,97.9,97.1,97.2
75,97.9,97.3,97.2
76,97.8,97.2,97.3
77,97.6,97.2,97.4
78,97.8,97.2,97.3
79,97.6,97.0,97.3
80,97.5,97.0,97.4
81,97.6,97.1,97.4
82,97.5,97.3,97.4
83,97.6,97.3,97.3
84,97.6,97.1,97.2
85,97.5,97.1,97.2
86,97.4,97.1,97.3
87,97.4,97.2,97.2
88,97.2,97.3,97.2
89,97.4,97.2,97.2
90,97.4,97.1,97.1
91,97.3,97.0,97.2
92,97.3,97.0,97.3
93,97.2,97.0,97.3
94,97.1,97.0,97.3
95,97.3,97.0,97.3
96,97.3,97.0,97.2
97,97.2,96.9,97.3
98,97.1,96.9,97.3
99,97.0,96.9,97.2
100,97.2,97.0,97.3
101,97.4,97.0,97.3
102,97.2,96.9,97.2
103,97.2,96.9,97.3
104,97.2,97.0,97.4
105,97.0,97.0,97.5
106,97.0,97.1,97.5
107,97.2,97.1,97.4
108,97.1,97.0,97.3
109,97.1,97.4,97.4
110,97.2,97.8,97.4
111,97.1,97.7,97.5
112,97.0,97.6,97.6
113,97.2,97.5,97.6
114,97.1,97.5,97.5
115,97.1,97.6,97.5
116,97.1,97.4,97.4
117,97.0,97.6,97.5
118,97.2,97.6,97.5
119,97.2,97.5,97.4
120,97.1,97.5,97.3
121,97.0,97.5,97.3
122,97.0,97.6,97.3
123,96.9,97.6,97.5
124,97.0,97.5,97.5
125,97.2,97.4,97.4
126,97.1,97.4,97.3
127,97.1,97.6,97.4
128,97.2,97.4,97.3
129,97.2,97.5,97.3
130,97.3,97.6,97.4
131,97.4,97.5,97.2
132,97.3,97.5,97.2
133,97.3,97.5,97.2
134,97.2,97.3,97.2
135,97.3,97.5,97.4
136,97.5,97.4,97.3
137,97.4,97.5,97.2
138,97.4,97.4,97.2
139,97.4,97.3,97.2
140,97.2,97.3,97.3
141,97.1,97.4,97.5
142,97.3,97.6,97.4
143,97.2,97.5,97.3
144,97.2,97.5,97.7
145,97.4,97.4,98.1
146,97.3,97.3,98.6
147,97.2,97.5,98.7
148,97.4,97.6,98.5
149,97.3,97.5,98.3
150,97.2,97.4,98.2
151,97.2,97.2,98.0
152,97.1,97.5,98.0
153,97.3,97.6,98.0
154,97.3,97.4,97.9
155,97.1,97.4,97.8
156,97.2,97.3,97.8
157,97.1,97.4,97.6
158,97.0,97.4,97.6
159,97.1,97.4,97.6
160,97.2,97.4,97.5
161,97.1,97.3,97.5
162,97.0,97.5,97.6
163,97.0,97.4,97.5
164,96.9,97.3,97.5
165,97.1,97.5,97.7
166,97.1,97.4,97.5
167,97.1,97.6,97.6
168,97.1,97.5,97.5
169,97.0,97.3,97.4
170,97.0,97.3,97.5
171,97.2,97.5,97.6
172,97.2,97.5,97.6
173,97.1,97.5,97.6
174,97.1,97.4,97.5
175,96.9,97.2,97.5
176,97.0,97.2,97.5
177,97.1,97.4,97.4
178,97.0,97.3,97.4
179,97.0,97.2,97.4
180,97.2,97.2,97.3
181,97.1,97.2,97.3
182,97.1,97.4,97.5
183,97.2,97.4,97.4
184,97.2,97.4,97.4
185,97.1,97.4,97.4
186,97.1,97.2,97.3
187,97.0,97.4,97.4
188,97.1,97.4,97.6
189,97.2,97.4,97.4
190,97.5,97.4,97.4
191,97.4,97.4,97.4
192,97.3,97.5,97.4
193,97.2,97.4,97.6
194,97.2,97.4,97.7
195,97.3,97.4,97.6
196,97.3,97.5,97.5
197,97.2,97.6,97.5
198,97.1,97.5,97.4
199,97.0,97.4,97.5
200,97.1,97.5,97.6
201,97.1,97.5,97.5
202,97.0,97.7,97.5
203,97.0,97.6,97.4
204,97.0,97.5,97.3
205,97.1,97.5,97.4
206,97.3,97.5,97.5
207,97.2,97.5,97.4
208,97.2,97.5,97.4
209,97.2,97.4,97.3
210,97.1,97.3,97.3
211,97.0,97.3,97.3
212,97.1,97.4,97.3
213,97.0,97.5,97.3
214,97.0,97.4,97.2
215,97.2,97.4,97.2
216,97.1,97.2,97.2
217,97.0,97.3,97.4
218,97.2,97.4,97.4
219,97.2,97.4,97.3
220,97.1,97.3,97.3
221,97.2,97.2,97.2
222,97.2,97.3,97.2
223,97.3,97.4,97.4
224,97.3,97.3,97.3
225,97.2,97.4,97.3
226,97.1,97.6,97.3
227,97.1,97.5,97.4
228,97.0,97.5,97.5
229,97.2,97.5,97.6
230,97.1,97.3,97.4
231,97.0,97.4,97.4
232,97.0,97.5,97.4
233,96.9,97.5,97.3
234,96.8,97.4,97.5
235,97.2,97.3,97.6
236,97.2,97.2,97.5
237,97.2,97.3,97.5
238,97.1,97.3,97.4
239,97.0,97.1,97.3
240,97.2,97.1,97.5
241,97.4,97.0,97.6
242,97.3,97.1,97.5
243,97.2,97.2,97.4
244,97.2,97.3,97.3
245,97.0,97.2,97.3
246,97.0,97.3,97.4
247,97.2,97.4,97.3
248,97.1,97.5,97.3
