time,w1,w2,w3
1,97.3,94.7,93.6
2,96.8,94.7,93.7
3,96.4,94.6,93.7
4,96.0,94.4,93.8
5,95.8,94.4,93.8
6,95.7,94.3,93.7
7,95.5,94.4,93.7
8,95.2,94.4,93.6
9,95.0,94.3,93.7
10,94.8,94.2,93.7
11,94.8,94.3,93.6
12,94.7,94.2,93.5
13,94.6,94.1,93.5
14,94.6,94.1,93.5
15,94.4,94.1,93.6
16,94.3,94.0,93.6
17,94.3,94.1,93.5
18,94.2,94.1,93.5
19,94.1,94.1,93.5
20,94.1,94.0,93.5
21,94.1,94.0,93.6
22,93.9,93.9,93.7
23,93.9,93.9,93.8
24,94.0,94.1,93.7
25,93.9,94.1,93.6
26,94.4,94.0,93.6
27,94.3,94.0,93.7
28,94.1,93.9,93.8
29,94.2,93.9,93.7
30,94.2,93.9,93.7
31,94.1,93.9,93.6
32,94.0,93.9,93.6
33,94.0,93.9,93.7
34,94.0,93.9,93.5
35,94.1,93.9,93.5
36,94.1,94.0,93.4
37,94.0,93.9,93.4
38,93.9,93.9,93.5
39,93.8,93.9,93.5
40,93.8,94.0,93.5
41,94.0,94.1,93.5
42,93.9,94.0,93.5
43,93.9,94.0,93.4
44,94.0,94.0,93.4
45,94.0,94.1,93.5
46,93.9,94.2,93.5
47,94.0,94.3,93.5
48,93.9,94.2,93.4
49,93.8,94.2,93.4
50,93.8,94.3,93.6
51,93.7,94.2,93.5
52,93.7,94.1,93.5
53,93.9,94.3,93.5
54,93.8,94.2,93.4
55,93.7,94.3,93.5
56,93.8,94.2,93.6
57,93.9,94.1,93.6
58,93.8,94.0,93.5
59,94.0,99.6,104.4
60,106.4,109.5,104.8
61,106.5,100.7,95.3
62,93.7,93.5,95.1
63,93.7,93.5,94.9
64,93.6,93.5,94.7
65,93.7,93.7,94.5
66,93.7,93.8,94.4
67,93.7,93.7,94.2
68,93.7,93.8,94.2
69,93.8,93.8,94.1
70,93.7,93.8,94.1
71,93.8,93.9,94.0
72,93.9,94.0,93.9
73,93.8,93.9,94.0
74,93.8,93.8,94.0
75,93.7,94.0,94.0
76,93.7,93.9,93.9
77,93.8,94.1,93.8
78,93.8,94.1,93.8
79,93.9,94.0,93.7
80,93.8,94.1,93.7
81,93.9,94.1,93.6
82,93.9,94.0,93.6
83,94.3,94.1,93.5
84,94.4,94.1,93.5
85,94.4,94.2,93.6
86,94.4,94.1,93.6
87,94.4,94.1,93.5
88,94.4,94.0,93.5
89,94.6,94.0,93.4
90,94.6,94.1,93.4
91,94.6,94.1,93.5
92,94.5,94.1,93.6
93,94.4,94.0,93.6
94,94.3,94.0,93.5
95,94.3,94.1,93.4
96,94.2,94.0,93.4
97,94.1,93.9,93.4
98,94.1,93.9,93.4
99,94.0,93.8,93.4
100,94.0,94.0,93.4
101,94.1,94.1,93.4
102,94.1,94.1,93.5
103,94.0,94.1,93.5
104,94.0,94.0,93.5
105,94.0,94.1,93.4
106,93.9,94.0,93.4
107,94.1,94.0,93.6
108,94.0,93.9,93.6
109,93.9,93.9,93.6
110,94.0,94.1,93.7
111,93.9,94.1,93.8
112,93.9,94.0,93.8
113,94.1,94.0,93.7
114,94.2,94.0,93.6
115,94.1,94.2,93.7
116,94.0,94.1,93.7
117,94.0,94.0,93.7
118,93.9,93.9,93.6
119,93.9,94.1,93.5
120,93.9,94.2,93.4
121,93.8,94.1,93.5
122,93.8,94.0,93.7
123,93.9,94.0,93.6
124,94.0,94.0,93.6
125,94.0,94.2,93.6
126,93.9,94.2,93.6
127,93.9,94.1,93.7
128,93.8,94.1,93.6
129,93.9,94.1,93.5
130,93.9,94.1,93.5
131,94.0,94.1,93.5
132,94.0,94.1,93.5
133,93.9,94.1,93.6
134,93.9,94.0,93.7
135,93.9,94.1,93.6
136,93.9,94.2,93.6
137,93.9,94.2,93.6
138,94.1,94.2,93.6
139,93.9,94.2,93.7
140,93.9,94.3,93.7
141,93.8,94.2,93.7
142,93.8,94.3,93.7
143,99.2,94.3,93.7
144,93.7,94.1,93.7
145,93.7,94.2,93.7
146,93.7,94.3,93.8
147,93.7,94.2,93.7
148,93.7,94.3,93.8
149,93.8,94.2,93.8
150,93.7,94.3,93.7
151,93.8,94.3,93.7
152,93.8,94.2,93.7
153,93.8,94.1,93.6
154,94.0,94.2,93.7
155,93.9,94.3,93.6
156,93.9,94.3,93.5
157,93.9,94.2,93.5
158,93.8,94.1,93.5
159,93.9,94.0,93.5
160,93.9,94.1,93.4
161,93.9,94.1,93.4
162,93.8,94.0,93.4
163,93.7,94.0,93.6
164,93.8,93.9,93.6
165,93.7,93.9,93.6
166,93.7,93.9,93.5
167,93.7,93.9,93.4
168,93.6,93.8,93.4
169,93.6,93.7,93.4
170,93.6,93.8,93.4
171,93.8,93.7,93.4
172,93.8,93.9,93.4
173,94.0,93.8,93.6
174,93.9,93.8,93.7
175,93.9,93.9,93.7
176,93.9,93.8,93.7
177,94.0,93.8,93.8
178,93.9,93.9,94.0
179,93.9,94.0,94.0
180,93.9,93.9,93.9
181,93.8,93.8,94.0
182,93.8,93.8,94.1
183,94.0,93.7,94.1
184,94.0,93.8,94.1
185,93.9,94.0,94.1
186,93.8,94.1,94.0
187,93.8,94.0,94.1
188,93.7,94.0,94.2
189,93.9,93.9,94.2
190,93.8,94.1,94.1
