time,w1,w2,w3
228,96.1,95.9,96.9
229,96.1,95.9,96.8
230,96.1,96.0,96.7
231,96.3,95.9,96.7
232,96.3,96.0,96.7
233,96.2,96.1,96.7
234,96.2,96.0,96.6
235,96.2,95.9,96.6
236,96.2,95.9,96.5
237,96.3,95.9,96.5
238,96.2,95.8,96.5
239,96.1,95.9,96.5
240,96.1,95.7,96.4
241,96.1,95.8,96.4
242,96.1,96.0,96.3
243,96.0,95.8,96.2
244,96.0,95.8,96.3
245,96.0,95.8,96.3
246,96.0,95.7,96.3
247,95.9,95.8,96.3
248,95.8,95.7,96.2
249,96.0,95.8,96.1
250,95.9,95.7,96.2
251,95.9,95.6,96.2
252,95.8,95.7,96.1
253,95.7,95.8,96.0
254,95.8,95.8,96.0
255,95.9,95.9,96.0
256,95.9,96.3,96.0
257,95.9,96.7,96.1
258,95.9,97.0,96.1
259,95.8,97.2,96.1
260,95.9,97.4,96.3
261,96.0,97.3,96.3
262,95.9,97.2,96.4
263,95.9,97.1,96.3
264,96.0,97.3,96.4
265,96.0,97.5,96.4
266,96.1,97.8,96.4
267,96.2,97.9,96.4
268,96.1,97.9,96.5
269,96.1,97.6,96.5
270,96.0,97.4,96.6
271,95.9,97.4,96.4
272,96.0,97.1,96.4
273,96.1,97.1,96.3
274,96.0,97.0,96.4
275,96.0,96.8,96.4
276,96.1,96.7,96.3
277,96.1,96.8,96.2
278,96.2,96.7,96.2
279,96.2,96.6,96.1
280,96.2,96.4,96.2
281,96.3,96.3,96.3
282,96.1,96.3,96.2
283,96.1,96.3,96.2
284,96.2,96.3,96.2
285,96.2,96.1,96.1
286,96.3,96.0,96.4
287,96.3,95.9,96.3
288,96.2,96.0,96.2
289,96.1,96.1,96.2
290,96.2,96.0,96.3
291,96.1,96.0,96.2
292,96.1,95.8,96.4
293,96.1,96.0,96.4
294,96.0,96.1,96.2
295,96.0,96.0,96.2
296,96.1,96.6,96.2
297,96.1,96.7,96.1
298,96.1,96.5,96.2
299,96.0,96.4,96.3
300,95.9,96.4,96.2
301,95.9,96.3,96.2
302,96.0,96.3,96.2
303,95.9,96.3,96.1
304,96.0,96.2,96.1
305,96.0,96.2,96.3
306,95.9,96.3,96.1
307,95.9,96.1,96.1
308,96.1,96.2,96.1
309,96.1,96.1,96.0
310,96.0,96.2,96.0
311,95.9,96.1,96.1
312,95.9,96.1,96.1
313,95.8,96.2,96.2
314,95.9,96.3,96.3
315,96.0,96.1,96.3
316,96.1,96.1,96.4
317,96.0,96.2,96.3
318,95.9,96.2,96.3
319,95.9,96.3,96.2
320,96.0,96.2,96.1
321,96.1,96.1,96.1
322,96.2,96.1,96.3
323,96.1,96.3,96.2
324,96.1,96.3,96.3
325,96.7,96.3,96.4
326,96.8,96.2,96.3
327,96.7,96.1,96.2
328,96.6,96.3,96.2
329,96.5,96.6,96.2
330,96.4,97.0,96.2
331,96.4,96.8,96.2
332,96.4,96.7,96.1
333,96.6,96.7,96.1
334,96.5,96.7,96.2
335,96.5,96.8,96.3
336,96.5,96.5,96.3
337,96.6,96.5,96.3
338,96.5,96.5,96.2
339,96.4,96.3,96.4
340,96.3,96.3,96.5
341,96.2,96.2,96.3
342,96.2,96.3,96.3
343,96.1,96.4,96.2
344,96.3,96.3,96.2
345,96.2,96.2,96.4
346,96.1,96.2,96.3
347,96.0,96.3,96.3
348,96.0,96.3,96.3
349,96.0,96.3,96.2
350,96.1,96.1,96.1
351,96.1,96.1,96.4
352,96.0,96.1,96.2
353,95.9,96.1,96.2
354,95.9,96.2,96.2
355,95.9,96.2,96.1
356,96.0,96.4,96.1
357,96.0,96.9,96.3
358,95.9,96.9,96.3
359,96.0,96.9,96.3
360,96.2,96.8,96.3
361,96.2,96.6,96.3
362,96.3,96.4,96.3
363,96.3,96.5,96.3
364,102.9,96.5,96.2
365,96.5,96.5,96.1
366,96.5,96.4,96.1
367,96.5,96.3,96.0
368,96.5,96.2,96.1
369,96.5,96.3,96.4
370,96.3,96.4,96.3
371,96.2,96.4,96.3
372,96.1,96.3,96.4
373,96.2,96.2,96.6
374,96.3,96.4,96.6
375,96.2,96.4,96.7
376,96.1,96.4,96.7
377,96.1,96.4,96.7
378,96.1,96.4,96.5
379,96.1,96.4,96.6
380,96.1,96.4,96.8
381,96.0,96.4,96.7
382,95.9,96.4,96.7
383,95.9,96.4,96.6
384,95.9,96.5,96.5
385,95.9,96.3,96.5
386,96.0,96.3,96.6
387,95.9,96.2,96.4
388,95.9,96.2,96.3
389,95.8,96.3,96.3
390,95.8,96.3,96.2
391,95.9,96.1,96.2
392,96.0,96.1,96.4
393,95.9,96.0,96.2
394,95.9,96.0,96.3
395,96.0,96.0,96.4
396,96.0,96.0,96.2
397,96.0,95.9,96.2
398,96.0,96.0,96.2
399,95.9,96.1,96.1
400,96.1,96.2,96.2
401,96.1,96.2,96.2
402,96.2,96.0,96.1
403,96.2,96.1,96.2
404,96.1,96.2,96.3
405,96.2,96.2,96.3
406,96.2,96.3,96.4
407,96.1,96.3,96.3
408,96.1,96.2,96.2
409,96.1,96.3,96.4
410,96.0,96.2,96.3
411,95.9,96.1,96.3
412,96.0,96.3,96.3
413,96.1,96.3,96.2
414,96.2,96.3,96.2
415,96.1,96.2,96.4
416,96.1,96.2,96.3
417,96.1,96.1,96.2
418,96.1,96.3,96.2
419,96.2,96.4,96.1
420,96.3,96.2,96.1
421,96.2,96.1,96.3
422,96.2,96.1,96.3
423,96.2,96.2,96.3
424,96.2,96.2,96.3
425,96.3,96.3,96.2
426,96.4,96.1,96.1
427,96.3,96.1,96.4
428,96.2,96.1,96.2
429,96.2,96.0,96.3
430,96.4,96.1,96.4
431,96.4,96.0,96.3
432,96.3,96.0,96.3
433,96.1,96.0,96.2
434,96.1,96.1,96.3
435,96.3,96.1,96.2
436,96.2,96.2,96.2
437,96.4,96.3,96.3
438,96.5,96.3,96.5
439,96.4,96.3,96.5
440,96.5,96.4,96.4
441,96.5,96.6,96.3
442,96.4,96.7,96.2
443,96.5,96.6,96.2
444,96.4,96.6,96.2
445,96.3,96.6,96.3
446,96.4,96.5,96.3
447,96.3,96.6,96.3
448,96.3,96.5,96.2
449,96.4,96.4,96.2
450,96.3,96.5,96.3
451,96.3,96.5,96.2
452,96.4,96.5,96.2
453,96.3,96.5,96.3
454,96.2,96.6,96.2
455,96.3,96.4,96.2
456,96.3,96.4,96.4
457,96.1,96.3,96.2
458,96.1,96.2,96.2
459,96.0,96.2,96.2
460,95.8,96.3,96.1
461,96.0,96.3,96.1
462,96.0,96.2,96.3
463,96.0,96.1,96.2
464,96.0,96.1,96.2
465,95.9,96.1,96.2
466,95.9,96.2,96.3
467,96.1,96.2,96.1
468,96.0,96.3,96.2
469,95.9,96.2,96.2
470,96.0,96.1,96.2
471,95.9,96.2,96.3
472,95.9,96.1,96.2
473,96.1,96.1,96.2
474,96.0,96.1,96.2
475,96.1,95.9,96.3
476,96.1,95.9,96.3
477,96.0,96.0,96.1
478,96.1,96.0,96.2
479,96.2,96.0,96.2
480,96.1,96.0,96.3
481,96.1,95.9,96.4
482,96.1,95.9,96.3
483,96.0,96.0,96.2
484,96.1,95.9,96.1
485,96.2,95.9,96.2
486,96.2,95.9,96.3
487,96.2,95.8,96.5
488,96.1,95.9,96.4
489,96.0,96.0,96.3
490,96.1,95.9,96.3
491,96.2,95.9,96.2
492,96.0,95.8,96.3
493,96.0,95.8,96.3
494,95.9,96.0,96.1
495,95.9,96.0,96.1
496,96.0,95.9,96.1
497,96.0,95.9,95.9
498,96.0,95.8,96.2
499,96.0,95.9,96.2
500,96.0,96.0,96.3
501,96.3,95.9,96.2
502,96.6,95.8,96.2
503,96.8,95.8,96.2
504,96.8,95.7,96.3
505,96.8,96.0,96.4
506,96.7,96.1,96.3
507,96.6,96.0,96.2
508,96.7,96.0,96.3
509,96.7,96.0,96.3
510,96.8,95.8,96.5
511,96.7,95.9,96.5
512,96.7,96.0,96.4
513,96.6,95.9,96.3
514,96.6,95.9,96.3
515,96.7,95.9,96.3
516,96.6,95.9,96.5
517,96.6,96.0,96.4
518,96.4,96.1,96.3
519,96.3,95.9,96.2
520,96.4,95.9,96.2
521,96.3,95.9,96.0
522,96.3,95.8,96.2
523,96.2,95.9,96.2
524,96.1,96.0,96.1
525,96.0,95.9,96.2
526,96.0,95.9,96.1
527,96.2,95.8,96.1
528,96.2,95.8,96.3
529,96.1,95.8,96.2
530,96.1,95.8,96.3
531,96.1,95.8,96.3
532,96.0,95.8,96.2
533,96.1,95.7,96.2
534,96.2,95.7,96.4
535,96.1,95.9,96.4
536,96.2,96.0,96.3
537,96.2,96.0,96.3
538,96.1,95.9,96.2
539,96.2,95.8,96.2
540,96.1,95.8,96.4
541,95.9,96.0,96.3
542,96.0,95.9,96.3
543,96.1,95.9,96.2
544,96.0,95.8,96.1
545,96.1,95.8,96.1
546,96.2,95.8,96.3
547,96.1,96.0,96.1
548,96.0,95.9,96.1
549,95.9,95.9,96.1
550,95.9,95.9,96.2
551,96.1,95.8,96.3
552,96.1,95.8,96.4
553,96.0,96.2,96.4
554,96.0,96.1,96.4
555,96.1,96.0,96.2
556,96.1,96.1,96.2
557,96.2,96.1,96.3
558,96.1,96.2,96.4
559,96.1,96.2,96.4
560,96.1,96.2,96.3
561,95.9,96.1,96.2
562,96.0,96.0,96.2
563,96.1,96.0,96.3
564,96.0,96.1,96.3
565,96.0,96.2,96.3
566,96.0,96.1,96.2
567,95.9,96.1,96.1
568,95.9,95.9,96.1
569,96.0,95.9,96.1
570,95.9,95.9,96.2
